row_label,col_1,col_2,col_3,col_4
Cases decided by United States courts of appeals,1 201,100 0,1428,100 0
Board orders enforced in full,1116,57 7,853,59.7
Board orders enforced with modification,36,17 9,300,21 0
Remanded to Board,1,5,25,18
Board orders partially enforced and partially remanded_ _ _ _,2,10,7,. 5
Board orders set aside,46,22 9,243,17 0
Cases decided by the United States Supreme Court,7,100 0,89,100.0
Board orders enforced in full,7,100 0,63,70.8
Board orders enforced with modification,,,11,12 4
Board orders set aside,,,7,79
Remanded to Board,,,1,11
Remanded to court of appeals,,,6,6.7
Board's request for remand or modification of enforcement order denied,,,i,11
