row_label,Total,Identification of filing party — AFL-CIO unions,Identification of filing party — Teamsters,Identification of filing party — Other national unions,Identification of filing party — Other local unions,Identification of filing party — Indivduals,Identification of filing party — Employers
"RC — Pending October 1, 1979",2920,1707,787,196,214,16,
RC — Received fiscal 1980,9828,5577,2923,629,635,64,
RC — On docket fiscal 1980,12748,7284,3710,825,849,80,
RC — Closed fiscal 1980,10000,5612,3007,647,671,63,
"RC — Pending September 30, 1980",2748,1672,703,178,178,17,
"RM — Pending October 1, 1979",192,,,,,,192
RM — Received fiscal 1980,794,,,,,,794
RM — On docket fiscal 1980,986,,,,,,986
RM — Closed fiscal 1980,827,,,,,,827
"RM — Pending September 30, 1980",159,,,,,,159
"RD — Pending October 1, 1979",352,3,0,0,2,347,
RD — Received fiscal 1980,1778,14,2,1,9,1752,
RD — On docket fiscal 1980,2130,17,2,1,11,2099,
RD — Closed fiscal 1980,1791,15,2,1,9,1765,
"RD — Pending September 30, 1980",339,2,0,0,1,334,
