row_label,Size of unit (Number of employees),Number of em- ployees eligible to vote,Total elec- tions / Number,Total elec- tions / Percent of total,Elections in which representation rights were won by unions (RC and RM) / All unions / Number,Elections in which representation rights were won by unions (RC and RM) / All unions / Percent by class,Elections in which representation rights were won by unions (RC and RM) / AFL- CIO unions / Number,Elections in which representation rights were won by unions (RC and RM) / AFL- CIO unions / Percent by class,Elections in which representation rights were won by unions (RC and RM) / Other national unions / Number,Elections in which representation rights were won by unions (RC and RM) / Other national unions / Percent by class,Elections in which representation rights were won by unions (RC and RM) / Other local unions / Number,Elections in which representation rights were won by unions (RC and RM) / Other local unions / Percent by class,Elections in which no representative was chosen / Number,Elections in which no representative was chosen / Percent of total
Total RC and RM elections,192934,2911,100.0,1264,100.0,48,100.0,136,100.0,,,1443,100.0,
Under 10,3380,606,20.8,271,21.4,6,12.5,29,21.3,,,335,17.4,
10 to 19,8073,568,19.5,284,22.5,14,29.2,27,19.9,,,255,17.7,
"1,000 to 1,999",9021,7,0.2,5,0.4,0,,,,,,2,0.1,
