row_label,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases (UD),Amendment of certification cases (AC),Unit clarification cases (UC)
Mining (subtotal),766,653,458,152,27,11,0,0,16,105,91,5,9,0,0,8
Construction,5134,4641,2365,1134,707,232,27,0,156,463,354,129,80,10,0,20
Wholesale trade,3008,2193,1732,354,31,25,8,0,12,747,449,79,219,27,2,39
Retail trade,5129,3852,3445,523,86,13,8,0,41,909,770,79,323,14,0,31
"Finance, insurance, and real estate",819,627,506,95,21,0,1,0,4,180,136,12,32,0,1,11
U.S. Postal Service,1327,1320,1104,216,0,0,0,0,0,7,7,0,0,0,0,0
"Transportation, communication, and other utilities (subtotal)",5746,4649,3394,1025,149,44,8,0,26,1027,741,65,221,20,0,48
