row_label,col_1
20-0-1444,"Flotill Products, Inc."
9-0-2167 20-0-1482,Ford Bros. Fruitvale Canning Co.
10-0-1681,Gate City Cotton Mills.
11-0-1221,Gatke Corp.
3-0-846,
8-0-1916,"General Motors Corp. Goodrich, B. F., Co., The."
5-0-1900,"Harris Woodson Co., Inc."
18-0-1199,"Hartz, L. B., Inc."
20-0-1395,"Heinz, H. J., Co."
18-0-1226,Heisler Mfg. Co.
10-0-1323,Holmes & Holmes Oil Co.
5-0-2046,Hudson Hosiery Co.
20-C-1991,"Hume, G. H."
6_0-1050,Jones & Laughlin Steel Corp.
6-0-1085,"Jones & Laughlin Steel Corp., Vesta Shannopin"
,Jordanoff Aviation Corp.
2-0-5799,
18-0-1204,Keith Furnace Co.
18-0-1160,Lake Superior Lumber Corp. Lakey Foundry & Machinery
,Co.
7-C-1384 13-0-2481,La Salle Steel Co.
20-0-1438,Lincoln Packing Co.
9-0-2070,Louisville Railway Co.
14-0-1072,McLeansboro Shale Products Co.
13-0-2953,"Mackie-Lovejoy Mfg. Co. Department Stores,"
14-0-1067,May Inc.
11-0-1258,"Meier, Lewis & Co. Meisenbach Distributing Co."
16-0-1291,Midland Steel Products
8-0-1963,Co.
15-0-1120,"Montgomery Hardwood Floor Co.,"
11-0-1310,"Inc. Morris Paper Mills. Murray Distributing Co., H. L."
18-0-1205 10-0-1684,"Murray, Mylan Mfg. Co."
,d/b/a.
,"Na-Mac Products Corp. National Garment Co.,"
21-0-2532 14-C-1038,"Wells-Wear Co. National Lime & Stone Co., The."
8-0-1809 5-0-2044,"Newman Machine Co., Inc. Norfolk"
5-0-1851,Shipbuilding & Dry Dock
,Corp.
16-0-1193,Peanut Co. O'Keefe & Merritt Mfg. Co.
,Novelty
21-0-2689,Packard Motor Car Co.
8-0-1865,"Pictures, Inc."
21-0-.2565 15-0-1061,Paramount Pepsi-Cola Bottling Co.
11-0-1232,Perfect Circle Co.
11-4J-1256,Phillips Transfer Co. Phoenix Mutual Life
,"Insurance Corp., et al."
13-0-2635 18-0-1163,Co.
8-0-1696,"Pickwick Pittsburgh Steamship Co., The."
,Pool Mfg. Co.
,Gibson Veneer & Box Co. Electric Power Co.
16-0-1298 15-C-1020,Port Potomac
5-0-2095 16-C-1258,"Pure Oil Co., The."
,"Republican Publishing Co. Resnick, Julius, Inc."
1-0-2674 3-0-899,
13-C-2765,Reynolds International Pen Co.
20-0-1245,Rheern Mfg. Co.
