row_label,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
3 (or more)-union elections,10309,9235,3234,893,2163,2849,202,360,286,45,29,0,512
Total representation elections,526415,213784,120992,27523,27207,38062,56131,92226,64154,13309,13643,0,170278
B. ELECTIONS IN RC CASES (section header),,,,,,,,,,,,,
1-union elections,355977,92316,62571,14748,11876,3121,42040,77870,54612,11385,10912,,143551
1-union breakdown,,,,,,,,,,,,,
2-union elections,125063,89092,44801,8881,12076,31142,3103,8375,5166,1164,1007,138,14543
2-union,,,,,,,,,,,,,
