Method and stage of disposition,Fiscal year 1943 / Number of cases,Fiscal year 1943 / Percent of cases closed,Fiscal year 1943 / Percent of cases on docket,Fiscal year 1942 / Number of cases,Fiscal year 1942 / Percent of cases closed,Fiscal year 1942 / Percent of cases on docket,Fiscal year 1941 / Number of cases,Fiscal year 1941 / Percent of cases closed,Fiscal year 1941 / Percent of cases on docket,Fiscal year 1940 / Number of cases,Fiscal year 1940 / Percent of cases closed,Fiscal year 1940 / Percent of cases on docket
Cases on docket during year,5177,,,7236,,,6951,,,6836,,
Total number of cases closed,3849,100.0,67.1,4883,100.0,67.1,4683,100.0,67.1,4640,100.0,67.9
"Adjusted, total",1338,35.3,25.2,2450,44.9,33.9,2142,45.7,30.7,1877,40.5,27.5
"Closed by compliance, total",418,10.9,8.0,343,6.3,4.7,305,6.5,4.3,350,7.5,5.1
"Withdrawn, total",1499,38.9,29.0,1802,34.1,25.7,1440,31.0,20.8,1363,29.4,19.9
"Dismissed, total",505,14.7,10.9,666,13.6,10.9,727,14.4,9.7,1018,21.9,15.9
Closed otherwise,8,,,14,.3,.2,20,,,32,.7,.5
