row_label,Amount
Personnel compensation,55537793
Personnel benefits,5605552
Travel and transportation of persons,3956497
Transportation of things,155111
"Rent, communications, and utilities",7958370
Printing and reproduction,476429
Other services,4745781
Supplies and materials,857187
Equipment,790395
Insurance claims and indemnities,19300
Penalties and interest,100187
Total obligations and expenditures,80202602
