Action taken,Total all,Employer Total,Employer Informal settlement,Employer Formal settlement,Employer Recommendation of administrative law judge,Employer Board,Employer Court,Union Total,Union Informal settlement,Union Formal settlement,Union Recommendation of administrative law judge,Union Board,Union Court
B By number of employees affected,,,,,,,,,,,,,
Employees offered reinstatement,3816,3816,2682,113,0,518,503,,,,,,
"Accepted, total",2608,2608,2003,58,0,244,303,,,,,,
Declined,1208,1208,679,55,0,274,200,,,,,,
Employees placed on preferential hiring list,480,480,460,3,0,10,7,,,,,,
Hiring hall rights restored,89,,,,,,,89,58,0,0,,
Objections to employment withdrawn,98,,,,,,,98,98,70,5,,
Employees receiving backpay,,,,,,,,,,,,,
From either employer or union,7393,6948,4673,405,0,1002,868,445,216,6,24,199,
From both employer and union,12,12,12,0,0,0,0,12,12,0,0,,
"Employees reimbursed for fees, dues, and fines",6227,3212,1714,432,0,630,436,3015,1003,721,0,861,430
From employer only,133,133,47,0,0,0,86,,,,,,
From both employer and union (under fees/dues),133,,,,,,,133,47,0,0,86,0
"C By amounts of monetary recovery, total",21019170,11041610,6065640,843720,0,2055800,2076890,977560,313120,126400,375460,162580,
"Backpay (includes all compensatory payments except for, e.g., illegal dues, fines)",11286160,10745000,5809150,428490,0,2031320,2066070,541160,265470,7310,0,85600,182780
"Reimbursement of fees, dues, and fines",733010,296610,256490,8140,0,24540,10535,436400,27620,119090,0,270860,9500
