Category,Sub-total,Total
Total Board decisions,,1638
  Contested decisions,,979
    Unfair labor practice decisions,650,
      Initial (includes those based on stipulated record),572,
      Supplemental,37,
      Backpay,28,
      Determinations in jurisdictional disputes,13,
    Representation decisions,322,
      After transfer by Regional Directors for initial decision,4,
      After review of Regional Director decisions,62,
      On objections and/or challenges,256,
    Other decisions,7,
      Clarification of bargaining unit,4,
