row_label,Cases in which formal actions taken,Formal actions taken by type of case / Total formal actions taken,Formal actions taken by type of case / RC,Formal actions taken by type of case / RM,Formal actions taken by type of case / RD,Formal actions taken by type of case / UD
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",7,6,6,0,0,0
Regional Directors' decisions:,,,,,,
Affirmed,0,0,0,0,0,0
Modified,7,6,6,0,0,0
Reversed,0,0,0,0,0,0
