row_label,col_1
6-11-1164,Bethlehem Steel Co.
21-11-3167,Bethlehem Steel Co.
16-R-1376 8-R-1910,Bethlehem Supply Co. Bethlehem Transportation Corp.
13-11-2973,Better Built Trunk & Case Co.
1-R-2687,"Bigelow Co., The."
,"Binon Chocolate, Inc."
2-R-5124,Bird Machine Co.
1-11-2943 9-11-1788,"Black-Clawson Co., -"
5-11-2205,The Black & Decker Mf. Co.
18-11-1396,Black Hills Packing Co.
4-11-1728,Blough Mfg. Co.
5-R-1885,Inc.
,"Blue-Bell,"
5-R-1986,"Blue Ribbon Laundry. Co,"
5-R-2253,"Blumenthal, Sidney, & Inc."
16-R-1330,"Boardman Co., The."
16-R-1363,Bonham Cotton Mills.
2041-1495,"Booth Co., The."
16-11-1653,"Borden Co., The."
1-R-2449,"Borden, Richard, Mfg Co."
1-11-2463,"Borden, Richard, Mfg Co."
1-R-2456,"Borden, Richard, Mfg Co."
1-R-2450,Border City Mfg. Co.
1-11-2457,Border City Mfg. Co.
1-11-2464,Border City Mfg. Co.
1-R-2451,Bourne Mills.
1-11-2458,Bourne Mills.
1-R-2465,Bourne Mills.
6-R-1158,Braeburn Alloy Steel Corp. Braeburn Alloy Steel Corp.
6-R-1170,"Brandwein, A., & Co."
13-R-3046,",Bridgeport Metal Goods Mfg. Co"
2-11-5967 2-R-6083,"Bridgeport Thermostat Co., Inc."
1-11-2622,Bridgewater Woolen Co. Briggs Mfg. Co.
7-R-1909,
11-R-984,Briggs Indiana Corp. Brown & Co.
8-R-1924,& Sharpe
1-R-2633,Brown Mfg. Co. Brown & Sharpe Mfg Co.
1-R-2798,"Brown Shipbuilding Co.,"
16-R-1553 8-11-1917,"Inc Buckeye Steamship Co. Budd, Edward G., Mfg. Co."
4-11-1925,"Bull Insular Line, Inc."
24-R-129 8-R-1848,"Bunting Brass & Bronze Co., The."
8-R-1937,"Burley Clay Products Co., The Burlington Mills Corp."
5-R-2005,
20-R-1428,Canning Co.
20-11-1441,Califruit California Conserving Co.
21-R-2971 19-R-1558,California Consumers Corp. California Packing Corp
20-R-1421,California Packing Corp. California Packing Corp. California Packing Corp.
20-R-1436 20-R-1449,California Pet Foods
20-R-1473 20-R-1483,"Co. • California Processors & Growers, Campbell, S. J., Co."
9-R-1755,Capital Motor Lines.
,Packing Corp.
10-11-1789,Capolino & Carbon
20-R-1464 9-R-1584,Chemicals Corp.
8-11-1991,Carbide Cardinal Rubber Co.
8-11-1992,Cardinal Rubber Co. Inc.
18-R-1359,"Cargill, Carnegie Illinois Steel"
13-R-3063,
,Corp. Carson Pine Scott & Co.
13-11-2859,
17-R-1081,"Catholic Press Society,"
,Inc
