row_label,Case No.,Union and company,Date petition for injunction filed,Type of item,Temporary restraining order / Date issued,Temporary restraining order / Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
27-CC-353,27-CC-353,"Plumbers, Local 741 & Painters, Local 596 (Keith Riggs Plumbing & Heating Contr)","Mar. 7, 1960",,,,,,,
18-CC-78,18-CC-78,"*Teamsters, Local 662 (Melvyn Ready-Mix Co.)","Mar. 8, 1960",,,,,,"May 9, 1960",Settled
21-CC-85,21-CC-85,"Steelworkers, Local 3856 (Currer Corp)","Mar. 28, 1960",,"Mar. 28, 1960","Apr. 18, 1960","Mar. 16, 1960",,,"Apr. 22, 1960 Withdrawn"
Remaining ~17-18 cases on this page,,,,,,,,,,
