State / Federal Region,All cases,All-C (ULP) cases,CA,CB,CC,CD,CE,CG,CP,All-R (Representation) cases,RC,RM,RD,UD,AC,UC
Region I (Boston — DHHS) — subtotal,2628,2233,1684,465,,,,,,373,332,,,,,26
Region II (New York — DHHS) — subtotal (NJ+NY+Puerto Rico+Virgin Islands),6115,5164,1769,,,,,,,,874,,,,,
Region III (Philadelphia — DHHS) — subtotal,4635,3803,2234,,,,,,,,615,,,,,
