row_label,Fiscal year 1996 / Number of proceedings / Total,Fiscal year 1996 / Number of proceedings / Vs. employers only,Fiscal year 1996 / Number of proceedings / Vs. unions only,Fiscal year 1996 / Number of proceedings / Vs. both employers and unions,Fiscal year 1996 / Number of proceedings / Board dismissals,Fiscal year 1996 / Proceedings / Vs. employers only,Fiscal year 1996 / Proceedings / Vs. unions only,Fiscal year 1996 / Proceedings / Vs. both employers and unions,"July 5, 1935-Sept. 30, 1996 / Number","July 5, 1935-Sept. 30, 1996 / Percent"
Proceedings decided by U.S. courts of appeals,185,167,18,0,0,,,,10926,100.0
On petitions for review and/or enforcement,147,133,14,0,0,100.0,100.0,0,,100.0
Board orders affirmed in full,97,84,13,0,0,63.2,92.9,0,7193,65.8
Board orders affirmed with modification,19,18,1,0,0,13.5,7.1,0.0,1473,13.5
Remanded to Board,6,6,0,0,0,4.5,0.0,0.0,544,5.0
Board orders partially affirmed and partially remanded,7,7,0,0,0,5.3,0.0,0.0,228,2.1
Board orders set aside,18,18,0,0,0,13.5,0.0,0.0,1488,13.6
On petitions for contempt,38,34,4,0,0,100.0,100.0,,,
"Compliance after filing of petition, before court order",12,12,0,0,0,35.3,0.0,,,
Court orders holding respondent in contempt,16,14,2,0,0,41.3,50.0,,,
Court orders denying petition,5,4,1,0,0,11.8,25.0,,,
Contempt petitions without compliance adjudication,4,4,0,0,0,11.8,0.0,,,
Contempt petitions without resolution,1,0,1,0,0,0.0,25.0,,,
Proceedings decided by U.S. Supreme Court,3,3,0,0,0,100.0,,,256,100.0
Board orders affirmed in full,3,3,0,0,0,60.0,,,155,60.6
Board orders affirmed with modification,0,0,0,0,0,0.0,,,18,7.0
Board orders set aside,0,0,0,0,0,0.0,,,45,17.6
Remanded to Board,0,0,0,0,0,0.0,,,19,7.4
Board's request for remand or modification of enforcement order denied,0,0,0,0,0,0.0,,,16,6.3
Contempt cases sustained,0,0,0,0,0,0.0,,,3,1.2
