Standard Federal Region / State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Representation cases — UD,Representation cases — AC,Representation cases — UC
Region VIII (total — Mountain: CO+MT+ND+SD+UT+WY),985,754,557,133,15,,,,,223,172,13,46,,,
Region IX (total — Pacific: AZ+CA+HI+NV),5329,4623,2579,1240,118,,,,,706,,,181,,,
Region X (total — Pacific Northwest: AK+ID+OR+WA),1564,1088,792,242,,,,,,450,307,26,117,,,
"Total, all States and areas",40878,32401,22343,7940,1471,254,88,40,263,7908,6376,310,1222,185,32,352
