row_label,Industrial group,All cases,Under labor practices cases — All,Under labor practices cases — CA,Under labor practices cases — CB,Under labor practices cases — CC,Under labor practices cases — CD,Under labor practices cases — CE,Under labor practices cases — CG,Under labor practices cases — CP,Representation cases — All,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Food and kindred products,1493,1186,805,285,4,0,0,0,1,283,219,14,50,7,7,10,
Tobacco manufactures,14,12,7,1,0,0,0,0,0,2,1,0,1,0,0,0,
Textile mill products,173,137,101,24,0,0,0,0,0,33,23,1,9,0,0,3,
Manufacturing (subtotal),13071,10702,7963,2564,26,42,4,1,14,2180,1616,100,464,61,16,106,
