Subsection / combination,Number of cases showing specific allegations,Percent of total
Subsections of Sec. 8(b) — Total,1160,100.0
8(b)(1),112,9.6
8(b)(2),190,16.4
8(b)(3),35,3.0
8(b)(4),223,19.2
8(b)(5),3,.3
8(b)(6),10,.9
8(b)(1)(2),381,32.8
8(b)(1)(3),27,2.3
8(b)(1)(4),54,4.7
8(b)(1)(5),1,.1
8(b)(1)(6),7,.6
8(b)(2)(4),10,.9
8(b)(2)(6),3,.3
8(b)(3)(6),7,.6
8(b)(3)(4),5,.4
8(b)(1)(2)(3),35,3.0
8(b)(1)(2)(4),33,2.8
8(b)(1)(2)(5),4,.3
8(b)(1)(2)(6),2,.2
8(b)(1)(3)(4),5,.4
8(b)(1)(3)(6),2,.2
8(b)(2)(3)(6),1,.1
8(b)(1)(2)(3)(4),1,.1
8(b)(1)(2)(3)(5)(6),6,.5
8(b)(1),665,57.3
8(b)(2),675,58.2
8(b)(3),131,11.3
8(b)(4),340,29.3
8(b)(5),9,.8
8(b)(6),26,2.2
8(b)(1)(B),644,55.5
Analysis 8(b)(1)(A),29,2.5
Total,340,100.0
8(b)(4)(A),157,46.2
8(b)(4)(B),0,
8(b)(4)(C),15,4.4
8(b)(4)(D),72,21.2
8(b)(4)(A)(B),74,21.7
8(b)(4)(A)(C),3,.9
8(b)(4)(A)(D),2,.6
8(b)(4)(B)(C),,
8(b)(4)(C)(D),1,.3
8(b)(4)(A)(B)(C),9,2.6
8(b)(4)(A)(B)(D),1,.3
8(b)(4)(A),247,72.6
8(b)(4)(B),89,26.2
8(b)(4)(C),30,8.8
8(b)(4)(D),77,22.6
