Type of formal action taken,"All R cases, total / Cases in which formal actions taken","All R cases, total / Number of formal actions taken",Number of formal actions taken by type of case / RC,Number of formal actions taken by type of case / RM,Number of formal actions taken by type of case / RD,Number of formal actions taken by type of case / UD
Initial hearings completed,2287,2131,1916,121,94,3
"Decisions issued, total",2213,2066,1881,99,86,2
Decisions issued — By regional director,1997,1890,1734,75,81,1
By regional director — Elections directed,1807,1733,1596,65,72,1
By regional director — Dismissals on record,190,157,138,10,9,0
Decisions issued — By Board,216,176,147,24,5,1
By Board — After transfer by regional director for initial decision,162,127,104,20,3,0
By Board after transfer — Elections directed,102,78,67,8,3,0
By Board after transfer — Dismissals on record,60,49,37,12,0,0
By Board — After review of regional director's decision,54,49,43,4,2,0
After review — Elections directed,46,41,35,4,2,0
After review — Dismissals on record,8,8,8,0,0,0
"Decisions on objections and/or challenges, total",770,746,707,25,14,0
Decisions on objections — By regional director,363,350,335,9,6,0
Decisions on objections — By Board,407,396,372,16,8,0
By Board — In stipulated elections,365,363,341,14,8,0
Stipulated — No exceptions to regional director's report,216,214,198,11,5,0
Stipulated — Exceptions to regional director's report,149,149,143,3,3,0
By Board — In ordered elections (after transfer by regional director),26,18,17,1,0,0
By Board — In ordered elections after review of regional director's supplemental decision,16,15,14,1,0,0
