row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Washington………………………………………….,581,408,350,47,9,2,0,0,0,164,130,10,24,4,0,5
Oregon……………………………………………….,347,264,203,51,5,5,0,0,0,71,51,3,17,5,0,7
California…………………………………………….,3856,3240,2404,755,48,14,0,5,14,580,493,18,69,11,1,24
Alaska……………………………………………….,108,66,55,10,1,0,0,0,0,37,28,1,8,0,4,1
Hawaii……………………………………………….,326,264,209,47,3,2,0,0,3,60,49,0,11,0,2,0
Guam,39,39,38,1,0,0,0,0,0,0,0,0,0,0,0,0
Pacific…………………………………..,5257,4281,3259,911,66,23,0,5,17,912,751,32,129,20,7,37
PuertoRico………………………………………….,448,371,308,56,5,0,1,1,0,68,63,0,5,3,0,6
Virgin Islands………………………………………..,25,18,16,2,0,0,0,0,0,7,7,0,0,0,0,0
Outlyingareas…………………………..,473,389,324,58,5,0,1,1,0,75,70,0,5,3,0,6
"Total, all States and areas……………….",33232,27450,21063,5611,461,155,35,45,80,5462,4554,128,780,110,15,195
