Method and stage of disposition,All C cases - Number,All C cases - Percent of total closed,All C cases - Percent of total method,CA cases - Number,CA cases - Percent of total closed,CB cases - Number,CB cases - Percent of total closed,CC cases - Number,CC cases - Percent of total closed,CD cases - Number,CD cases - Percent of total closed,CE cases - Number,CE cases - Percent of total closed,CG cases - Number,CG cases - Percent of total closed,CP cases - Number,CP cases - Percent of total closed
Total number of cases closed,41020,100.0,,29351,100.0,8640,100.0,1960,100.0,427,100.0,125,100.0,38,100.0,478,100.0
Agreement of the parties,10720,26.1,100.0,8253,28.3,1290,14.9,900,45.9,50,,49,38.9,16,42.1,157,32.8
Informal settlement,10421,25.4,97.2,8075,27.1,1268,14.6,836,42.7,14,,48,38.1,14,36.8,151,31.6
Before issuance of complaint,6376,15.5,59.5,4744,16.2,886,10.3,617,31.5,(2),,30,23.8,7,18.4,92,19.2
"After issuance of complaint, before opening of hearing",3914,9.5,36.5,3210,10.9,373,4.3,236,12.0,14,,18,14.3,7,18.4,56,11.7
"After hearing opened, before issuance of administrative law judge's decision",131,0.3,1.2,121,0.4,9,0.1,,,,,,,,,3,0.6
Formal settlement,299,0.7,2.8,178,0.7,22,0.3,44,2.2,1,0.2,1,0.8,2,5.3,6,1.3
"After issuance of complaint, before opening of hearing",166,0.4,1.6,117,0.4,17,0.2,41,2.1,1,0.2,1,0.8,,,5,1.0
Stipulated decision,38,0.1,0.3,16,0.0,5,0.1,11,0.6,,,,,,,5,1.0
Consent decree,128,0.3,1.2,84,0.3,12,0.1,30,1.5,1,0.2,1,0.8,,,,
After hearing opened,124,0.3,1.2,118,0.4,3,0.0,3,0.2,,,,,,,,
Stipulated decision,17,0.0,0.2,12,0.0,2,0.0,3,0.2,,,,,,,,
Consent decree,42,0.1,0.4,106,0.4,1,0.0,,,,,,,,,,
Compliance with,1233,3.0,100.0,1053,3.6,120,1.4,35,1.8,8,,6,4.8,4,10.5,11,2.3
Administrative law judge's decision,35,0.1,2.8,26,0.1,8,0.1,1,0.0,,,,,,,,
Board decision,848,2.1,68.8,710,2.4,85,1.0,11,0.6,,,1,0.2,,,,
