row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won / Total,Valid votes cast in elections won / Votes for unions / AFL-CIO unions,Valid votes cast in elections won / Votes for unions / Other national unions,Valid votes cast in elections won / Votes for unions / Other local unions,Valid votes cast in elections won / Votes for no union,Valid votes cast in elections lost / Total,Valid votes cast in elections lost / Votes for unions / AFL-CIO unions,Valid votes cast in elections lost / Votes for unions / Other national unions,Valid votes cast in elections lost / Votes for unions / Other local unions,Valid votes cast in elections lost / Votes for unions / Votes for no union,Valid votes cast in elections lost / Votes for no union
Section A. All representation elections — AFL-CIO,164844,40529,40529,,,14300,20953,34168,34168,,,69194,
Total representation elections,188951,50292,43317,1975,5000,23596,38019,34936,1131,1952,77044,,
Other rows,,,,,,,,,,,,,
