Stage and method of disposition,All C cases / Number of cases,All C cases / Percent of cases closed,CA cases / Number of cases,CA cases / Percent of cases closed,CB cases / Number of cases,CB cases / Percent of cases closed,CC cases / Number of cases,CC cases / Percent of cases closed,CD cases / Number of cases,CD cases / Percent of cases closed
Total number of cases closed,5962,100.0,4618,100.0,1052,100.0,202,100.0,72,100.0
Before issuance of complaint,4975,83.4,3837,83.1,904,85.9,163,80.7,71,98.6
Adjusted,799,13.4,631,14.1,109,10.4,39,19.3,20,27.8
Withdrawn,2493,41.8,1869,40.0,497,47.2,94,52.5,41,56.9
Dismissed,1673,28.0,1332,28.9,295,27.8,16,9.4,10,13.9
Otherwise,10,.2,5,.1,3,.3,2,1.0,0,0
"After issuance of complaint, before opening of hearing",333,5.6,243,5.3,70,6.7,19,9.4,1,1.4
Adjusted,131,2.5,128,2.7,23,2.2,5,2.5,0,0
Compliance with stipulated decision,8,.1,2,0,2,.2,0,0,0,0
Compliance with consent decree,21,.4,35,1.2,19,1.8,1,.5,0,0
Withdrawn,81,1.4,47,1.0,10,1.0,3,1.5,1,1.4
Dismissed,20,.4,4,.1,15,1.4,1,.5,0,0
Otherwise,2,(1),2,.1,1,.1,0,0,0,0
"After hearing opened, before issuance of intermediate report",104,1.7,79,1.7,19,1.8,6,3.0,0,0
Adjusted,43,.7,29,.6,8,.8,4,2.0,0,0
Compliance with consent decree,32,.5,32,.7,8,.8,2,1.0,0,0
Withdrawn,20,.3,12,.3,2,.2,0,0,0,0
Dismissed,6,.1,1,(1),1,.1,0,0,0,0
"After intermediate report, before issuance of Board decision",53,.9,51,1.1,2,.2,0,0,0,0
Compliance,45,.7,43,.9,2,.2,0,0,0,0
Withdrawn,7,.1,7,.2,0,0,0,0,0,0
Otherwise,1,(1),1,(1),0,0,0,0,0,0
After Board order adopting intermediate report in absence of exceptions,54,.9,52,1.1,1,.1,1,.5,0,0
Compliance,14,.2,12,.3,1,.1,1,.5,0,0
Withdrawn,29,.5,29,.6,0,0,0,0,0,0
Otherwise,11,.2,11,.2,0,0,0,0,0,0
