Object class,Amount
Personnel compensation,20417391
Personnel benefits,1492459
Travel and transportation of persons,1347930
Travel and transportation of things,66699
"Rent, communications, and utilities",890098
Printing and reproduction,445627
Other services,610269
Supplies and materials,248858
Equipment,193244
Insurance claims and indemnities,8581
Total Agency,25721156
