Participating unions,Number of elections,Elections won by — A. F. of L. affiliates — Number,Elections won by — A. F. of L. affiliates — Percent,Elections won by — C. I. O. affiliates — Number,Elections won by — C. I. O. affiliates — Percent,Elections won by — Unaffiliated unions — Number,Elections won by — Unaffiliated unions — Percent,Elections won by — No union — Number,Elections won by — No union — Percent,Eligible voters — Total,Eligible voters — Percent of valid votes,Valid votes cast for — Total,Valid votes cast for — A. F. of L. — Number,Valid votes cast for — A. F. of L. — Percent,Valid votes cast for — C. I. O. — Number,Valid votes cast for — C. I. O. — Percent,Valid votes cast for — Unaffiliated — Number,Valid votes cast for — Unaffiliated — Percent,Valid votes cast for — No union — Number,Valid votes cast for — No union — Percent
Total,5514,2092,37.9,858,15.6,939,17.0,1625,29.5,588761,87.7,516248,131343,25.4,155482,30.1,90533,17.5,138888,26.9
A. F. L. affiliates (alone on ballot),2736,1789,65.4,,,,,947,34.6,205345,87.7,180098,140434,78.0,,,,,39664,22.0
C. I. O. affiliates (alone on ballot),1090,,,697,63.9,,,395,36.1,165803,87.7,145409,,,112876,77.6,,,32533,22.4
Unaffiliated unions (alone on ballot),942,,,,,725,76.9,217,23.0,55818,85.8,47894,,,,,38158,79.7,9736,20.3
A. F. L. affiliates–C. I. O. affiliates (joint ballot),1272,688,54.1,115,70.9,,,227,55.7,92629,87.6,81142,48460,59.7,12302,15.1,,,20380,25.1
A. F. L. affiliates-unaffiliated unions (joint ballot),126,12,9.5,,,68,54.0,46,36.5,9366,85.0,8021,1945,24.2,,,4034,50.3,2042,25.5
C. I. O. affiliates-unaffiliated unions (joint ballot),175,,,39,22.3,100,57.1,33,18.9,10917,85.0,9283,,,2335,25.2,5184,55.8,1762,19.0
A. F. L.-C. I. O.-unaffiliated unions (3-party joint ballot),133,,,,,,,,,,,,,,,,,,,
