Stage of disposition,All C cases — Number,All C cases — Percent of cases closed,CA cases — Number,CA cases — Percent closed,CB cases — Number,CB cases — Percent closed,CC cases — Number,CC cases — Percent closed,CD cases — Number,CD cases — Percent closed,CE cases — Number,CE cases — Percent closed,CP cases — Number,CP cases — Percent closed
Total number of cases closed,23840,100.0,15514,100.0,5363,100.0,1761,100.0,698,100.0,49,100.0,455,100.0
Before issuance of complaint,20837,87.4,13221,85.2,4987,92.4,1544,87.7,678,97.1,34,69.4,403,88.6
"After issuance of complaint, before opening of hearing",1914,8.0,1360,8.8,354,6.6,156,8.8,6,0.9,6,12.2,32,7.0
"After hearing opened, before issuance of trial examiner's decision",122,0.5,97,0.6,18,0.3,5,0.3,,,1,2.0,1,0.2
"After trial examiner's decision, before issuance of Board decision",14,0.1,13,0.1,,,,,,,,,,
After Board decision adopting trial examiner's decision in absence of exceptions,199,0.8,161,1.1,31,0.6,,,,,,,7,1.5
"After Board decision, before circuit court decree",779,3.3,593,3.8,115,2.1,46,2.6,,,5,10.2,,
"After circuit court decree, before Supreme Court action",460,1.9,,,,,,,,,,,,
After Supreme Court action,57,0.2,51,0.3,4,0.1,,,,,2,4.1,,
