row_label,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases (UD),Amendment of certification cases (AC),Unit clarification cases (UC)
Food and kindred products,2461,1765,1267,447,31,8,1,0,11,655,543,33,79,17,10,14
Tobacco manufacturers,19,9,6,0,0,0,0,0,0,10,9,0,1,0,0,0
Textile mill products,596,488,327,96,5,6,0,0,8,105,95,8,5,0,0,1
Apparel and other finished products made from fabrics and similar materials,708,554,431,109,5,4,0,0,9,152,127,10,15,2,0,1
Lumber and wood products except furniture,731,479,384,77,13,1,2,0,2,240,197,24,19,4,7,5
Furniture and fixtures,651,491,403,84,0,1,0,0,3,152,122,11,19,6,1,1
Paper and allied products,631,327,264,47,6,8,0,0,2,162,132,27,27,3,5,9
"Printing, publishing, and allied industries",1346,921,688,203,18,11,0,0,0,394,350,19,25,1,5,21
Chemicals and allied products,1168,840,612,176,38,8,0,0,6,312,286,7,19,0,1,15
Petroleum refining and related industries,329,226,163,44,11,4,3,0,1,96,73,3,20,1,1,6
Rubber and miscellaneous plastic products,1026,746,580,125,12,0,4,0,1,257,219,7,31,1,4,18
Leather and leather products,278,212,168,44,0,0,0,0,0,60,51,1,8,0,0,6
"Stone, clay, glass, and concrete products",1182,880,612,205,35,6,7,0,12,289,230,13,35,4,5,4
Primary metal industries,1096,716,553,132,16,1,1,0,13,313,270,5,35,3,1,32
Fabricated metal products (except machinery and transportation equipment),2198,1547,1198,294,34,13,0,0,8,521,441,25,55,13,6,12
Machinery (except electrical),2089,1366,1138,211,12,4,0,0,1,567,482,24,55,6,9,12
"Electrical and electronic machinery, equipment, and supplies",1743,1332,1029,289,9,3,0,0,2,380,305,6,56,6,5,8
Aircraft and parts,354,286,196,87,1,0,0,0,2,32,27,1,4,0,0,1
Ship and boat building and repairing,875,624,545,66,0,1,0,0,12,246,195,19,15,0,0,5
Automotive and other transportation equipment,1022,1408,954,426,21,4,0,0,3,205,172,4,29,1,7,14
"Measuring, analyzing, and controlling instruments, photographic, medical and optical goods, watches and clocks",380,273,215,51,4,0,0,0,0,101,82,1,16,1,0,2
Miscellaneous manufacturing industries,1931,1577,929,561,64,12,0,0,12,350,313,5,28,1,0,1
Manufacturing (subtotal),24008,16497,13454,4374,475,94,21,0,89,5297,4895,215,687,126,31,145
Metal mining,107,90,72,13,4,0,0,0,0,16,13,0,1,0,0,1
Coal mining,426,351,276,60,9,4,0,0,1,71,61,0,6,0,0,4
Oil and gas extraction,72,49,45,4,0,0,0,0,0,19,13,0,5,0,1,3
Mining and quarrying of nonmetallic minerals (except fuels),135,87,65,12,7,0,0,0,0,47,38,0,6,1,0,0
