Category,Total elections,Objections only — Number,Objections only — Percent,Challenges only — Number,Challenges only — Percent,Objections and challenges — Number,Objections and challenges — Percent,Total objections — Number,Total objections — Percent,Total challenges — Number,Total challenges — Percent
All representation elections,9660,731,7.6,402,4.2,177,1.8,908,9.4,579,6.0
By type of case — In RC cases,8800,669,7.6,363,4.1,166,1.9,835,9.5,529,6.0
By type of case — In RM cases,401,32,8.0,22,5.5,7,1.7,39,9.7,29,7.2
By type of case — In RD cases,459,30,6.5,17,3.7,4,0.9,34,7.4,21,4.6
By type of election — Consent elections,1553,59,3.8,38,2.5,16,1.0,75,4.8,54,3.5
By type of election — Stipulated elections,6247,442,7.1,252,4.0,118,1.9,560,9.0,370,5.9
By type of election — Expedited elections,38,5,13.2,0,0,0,0,5,13.2,0,0
By type of election — Regional director-directed elections,1765,216,12.2,104,5.9,40,2.3,256,14.5,144,8.2
By type of election — Board-directed elections,57,9,15.8,8,14.0,3,5.3,12,21.1,11,19.3
