Participating unions,Total valid votes cast,Valid votes cast in elections won: Total,Valid votes cast in elections won: Votes for unions: AFL-CIO unions,Valid votes cast in elections won: Votes for unions: Teamsters,Valid votes cast in elections won: Votes for unions: Other national unions,Valid votes cast in elections won: Votes for unions: Other local unions,Valid votes cast in elections won: Total votes for no union,Valid votes cast in elections lost: Total,Valid votes cast in elections lost: Votes for unions: AFL-CIO unions,Valid votes cast in elections lost: Votes for unions: Teamsters,Valid votes cast in elections lost: Votes for unions: Other national unions,Valid votes cast in elections lost: Votes for unions: Other local unions,Valid votes cast in elections lost: Total votes for no union
C. ELECTIONS IN RM CASES — AFL-CIO,6392,2067,2067,,,,824,1091,1091,,,,2410
Teamsters,2456,811,,811,,,265,398,,398,,,982
Other national unions,609,119,,,119,,47,21,,,137,,226
Other local unions,172,63,,,,63,31,21,,,,21,77
1-union elections subtotal (RM),9589,3060,2067,811,119,63,1167,1647,1091,398,137,21,3715
2-union,,,,,,,,,,,,,
2-union elections subtotal (RM),1231,937,257,67,404,209,5,99,72,,,,190
AFL-CIO v. AFL-CIO v. Teamsters,93,57,6,51,,,36,0,,,,,0
3 (or more)-union elections subtotal (RM),93,57,6,51,0,0,36,0,0,0,0,0,0
Total RM elections,10913,4054,2330,929,523,272,1208,1746,1163,449,142,21,5113
