Stage and method of disposition,All C cases / Number of cases,All C cases / Percent of cases closed,CA cases / Number of cases,CA cases / Percent of cases closed,CB cases / Number of cases,CB cases / Percent of cases closed,CC cases / Number of cases,CC cases / Percent of cases closed,CD cases / Number of cases,CD cases / Percent of cases closed
"After circuit court decree, before Supreme Court action",93,.8,50,.6,27,.9,13,2.5,3,1.4
Compliance (After circuit court decree),78,.7,44,.6,24,.8,8,1.5,2,.9
Dismissed (After circuit court decree),14,.1,5,,3,.1,5,1.0,1,.5
Otherwise (After circuit court decree),1,,1,,0,.0,0,.0,0,.0
After Supreme Court denied writ of certiorari—Compliance,9,.1,7,.1,0,.0,2,.4,0,.0
After Supreme Court opinion—Compliance,5,,4,,0,.0,1,.2,0,.0
