Industrial group,Total elec- tions / Total,Number of elections in which representatives were chosen / Total,AFL-CIO unions,Other national unions,Other local unions,Number of elec- tions in which no rep- resenta- tive was chosen,Number of em- ployees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,AFL-CIO unions,Other national unions,Other local unions,Total valid votes for no union,Eligible employees in units choos- ing rep- resenta- tion
Mining (subtotal),22,9,7,2,0,13,3311,2864,1061,756,301,4,1803,618
"Transportation, communication, and other utilities (subtotal)",677,377,323,39,15,300,35028,30021,15056,13942,601,513,15726,14708
Services (subtotal),1218,527,461,23,43,,,63235,,,,,,
