Method and stage of disposition,All R cases — Number,All R cases — Percent,RC cases — Number,RC cases — Percent,RM cases — Number,RM cases — Percent,RD cases — Number,RD cases — Percent,UD cases — Number,UD cases — Percent
"Total, all",7808,100.0,5209,100.0,718,100.0,1881,100.0,231,100.0
"Certification issued, total",4766,61.0,3478,66.8,304,42.3,884,47.0,129,55.8
"After Consent election, total",143,1.8,95,1.8,10,1.4,38,2.0,0,0
"Stipulated, total",3572,45.6,2840,54.5,222,30.9,510,48.1,,42.4
"Expedited, total",6,0.1,6,0.1,0,0,0,0,0,0
"By withdrawal, total",2323,29.8,1453,27.9,270,37.6,605,32.2,79,34.2
"By dismissal, total",714,9.1,278,5.3,144,20.1,292,15.5,23,9.5
