row_label,col_1,col_2,col_3,col_4,col_5,col_6
Hearings completed total,I 128,1282,1 019,71,190,7
Initial hearings,1 121,I 084,846,65,17 3,7
Ilcarings on objections and/or challenges,207,198,173,8,17,
"Decisions issued, total",1107,1(161,84),73,168,15
By Regional Directors,1 016,987,754,71,162,15
Elections directed,848,828,641,48,139,14
Dismissals on record,168,159,111,21,21,I
By Board,91,74,66,2,6,0
Transferred by Regional Directors for initial decision,28,18,16,1,1,0
Elections directed,17,12,10,1,1,0
Dismissals on record,II,6,6,,,0
"Review of Regional Directors &Limon, Requests for review received",660,612,561,19,51,0
Withdrawn before request ruled upon,5,5,4,0,1,0
Board action on requoa ruled uron total,450,418,362,14,42,0
Granted,70,66,99,1,6,0
Dental,177,349,100,11,16,0
ILLmanckd,1,1,1,0,II,0
"Withdrawn after request granted, belore Board review",4,4,1,0,I,0
"Board decision after review, total",61,56,50,1,5,I
"Regional Directors &Limon,",,,,,,
Modified,19,II,15,II,II,
,,,10,,,
Affirmed,13,10,25,1,4,0
,,,,,,0
Reversed,II,11,,0,I,0
Outeome,,,,,,
Eleetion directed,19,34,25,2,6,0
Dismissals on record,24,22,16,II,6,0
