row_label,col_1,col_2,col_3
18-UA-260 20-UA-873,Fairmont Creamery Co. Federal Ornamental Iron,2-UA-1883,"Gresham Management Co., Inc."
36-UA-320,& Bronze Work.,5-UA-273,"Greyhound Garage of Washington, Inc."
2-UA-1868,"Ferem, Walter, Co. Fifteen West Thirty- eight Street Corp.",13-UA-129,Greyhound Motors & Supply Co.
13-UA-841 2-UA-1802,"Fifth Avenue Ford, Inc. Fifty Broad Street Corp.",13-UA-630,Greyhound Motor & Sup- ply Co.
2-UA-1280,Firestone Tire & Rubber Co.,1-UA-330,"Hallowell, Jones & Don- ald."
14-UA-1019 15-UA-38,Firestone Tire & Rubber Co. Firestone Tire & Rubber,31-UA-191 2-UA-435,Hall Steel Co. Harris-Union Photo
18-UA-347,Co. Firestone Tire & Rubber,31-UA-153,En- graving Co. Hawaiian Electric Com-
21-UA-125,Co. Firestone Tire & Rubber Co.,6-UA-75,"pany Ltd., The. Haws Refractories Co."
21-UA-139,Firestone Tire & Rubber Co.,18-UA-648 2-UA-1843,"Heinrich Envelope Co. Herbert, McLean & Pur-"
21-UA-232,Firestone Tire & Rubber,1-UA-1406,dy. Heywood-Wakefield Co.
36-UA-56,Co.,35-UA-95 2-UA-1455,"Hoosier Desk Co. Hudson Transit Lines,"
,Firestone Stores & Fire- stone Retread Divi- sion.,10-UA-29,Inc. Huntsville Manufactur-
1-UA-1167 8-UA-254,"Firestone Textiles. Forker Corp., The.",,ing Co.
20-UA-378 4-UA-108,"Fruit Growers Supply Co. Gas Construction Co.,",2-UA-436 36-UA-259,Illustration- Engraving Co. Independence Lumber
14-UA-1192,"Inc. General Box Co. General Box Co., East",10-UA-61,Manufacturing Co. Industrial Cotton Mills
14-UA-1248,St. Louis Plant.,36-UA-362,Inc. Industrial Iron Works.
21-UA-737 21-UA-628,"General Chemical Co. General Electric Co.,",10-UA-37 1-UA-1564,Ingalls Iron Works Co. International Harvester
13-UA-825,Service Shop. General Motors Manu-,9-UA-14,Co. International Harvester
21-UA-369,facturing Corp. General Motors Corp.,,Co. International Harvester
20-UA-170 4-UA-353,Geneva Steel Co. Giant Portland Cement,9-UA-204,Co.
1-UA-85,"Co. Gibson Woolen Mills,",9-UA-636 9-UA-637,International Harvester Co. International Harvester
36-UA-9 2-UA-2815,Inc. Gilchrist Timber Co. Gimbel Bros. Inc.,13-UA-890,"Co., Louisville Works. International Harvester"
21-UA-412,Globe Bottling Co.,14-UA-1375,Co. Harvester
1-UA-1022,Gloucester Coal & Lum-,,International Co.
1-UA-1117,ber Co. Gloucester Ice & Cold,21-UA-315,International Harvester Co.
14-UA-1021 8-UA-631,"Storage Co. Goodrich, B. F., Co.",33-UA-16,International Mineral & Chemical Corp.
,Goodyear Tire & Rubber,9-UA-248,Ironton Fire Brick Co.
10-UA-51,"Co., The. Goodyear Tire & Rubber Co. of Alabama.",13-UA-763,"Issacson Iron Works, Inc."
14-UA-1022,"Goodyear Tire & Rubber Co., Inc.",14-UA-1370,Jackes Evans• Manufac- turing Co.
21-UA-1110,Goodyear Synthetic Rub- ber Plant.,35-UA-94 35-UA-53,Jasper Desk Co. Jasper Office Furniture
21-UA-160,Goodyear Synthetic Rub- ber Plant.,35-UA-54,Co. Jasper Seating Co.
2-UA-1842,"Graham, Thos. Grand View",35-UA-320,"Jasper Veneer Mills, Inc. Jessup & Moore"
2-UA-1396,Structural Steel Co.,5-UA-278,"Paper Co., The."
