row_label,col_1,col_2,col_3
Decisions issued after hearing,68,4,61
By Regional Directors,62,4,57
By Board,6,0,4
Transferred by Regional Duectors for initial decision,0,0,0
,,2,
Review of Regional Directors' decisions:,,,
Requests for review received,47,,45
Withdrawn before request ruled upon,0,,0
"Board action on requests ruled upon, total",36,2,32
Granted Denied,9 27,0 2,7 25
Remanded,0,0,0
"Withdrawn after request granted, before Board review",0,0,0
"Board decision after review, total",,,
,6,0,4
Regional Directors' decisions.,,,
Affirmed,4,,2
Modified,0,,0
Reversed.,2,,2
