Union affiliation,Elections in which a representative was redesignated / Employees eligible to vote,Elections in which a representative was redesignated / Total valid votes cast,Elections in which a representative was redesignated / Percent casting valid votes,Elections in which a representative was redesignated / Votes cast for winning union,Elections in which a representative was redesignated / Votes cast for no union,Elections resulting in decertification / Employees eligible to vote,Elections resulting in decertification / Total valid votes cast,Elections resulting in decertification / Percent casting valid votes,Elections resulting in decertification / Votes cast for losing union,Elections resulting in decertification / Votes cast for no union
Total,5691,5329,93.6,3522,1807,5598,4960,88.6,1604,3356
AFL,1164,1085,93.2,665,420,1114,1025,92.0,193,833
AFL-CIO,3509,3281,93.5,2224,1057,1970,1719,87.3,639,1080
CIO,910,857,94.2,556,301,2085,1809,86.7,632,1177
Unaffiliated,108,106,98.1,77,29,428,406,94.9,140,266
