Size of establishment (number of employees),Total — Number of situations,Total — Percent of all situations,Total — Cumulative percent of all situations,Type of situation — CA — Number of situations,Type of situation — CA — Percent by size class,Type of situation — CB — Number of situations,Type of situation — CB — Percent by size class,Type of situation — CC — Number of situations,Type of situation — CC — Percent by size class,Type of situation — CD — Number of situations,Type of situation — CD — Percent by size class,Type of situation — CE — Number of situations,Type of situation — CE — Percent by size class,Type of situation — CG — Number of situations,Type of situation — CG — Percent by size class,Type of situation — CP — Number of situations,Type of situation — CP — Percent by size class,Type of situation — CA-CB combinations — Number of situations,Type of situation — CA-CB combinations — Percent by size class,Type of situation — Other C combinations — Number of situations,Type of situation — Other C combinations — Percent by size class
Totals (all sizes),25000,100.0,,18264,100.0,5686,100.0,416,100.0,127,100.0,25,100.0,85,100.0,,,434,100.0,105,100.0
Under 10,1715,6.9,6.9,1239,6.8,348,6.1,50,12.0,22,17.3,7,28.0,7,8.2,,,33,7.6,7,6.6
