row_label,All C cases — Number,All C cases — Percent of total closed by method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Total number of cases closed,36424,100.0,26581,100.0,7481,100.0,1481,100.0,394,100.0,72,100.0,47,100.0,368,100.0
Agreement of the parties,9817,27.0,7889,29.6,1122,14.9,650,43.9,10,2.5,21,29.1,11,23.4,114,30.9
Informal settlement,9677,26.6,7800,29.3,1105,14.7,621,41.9,10,2.5,21,29.1,11,23.4,109,29.6
Formal settlement,140,0.4,89,0.3,17,0.2,29,1.9,0,0.0,0,0.0,0,0.0,5,1.3
Compliance with,1113,3.1,861,3.2,169,2.3,67,4.5,1,0.3,3,4.2,3,6.4,9,2.4
Administrative law judge's decision,191,0.5,172,0.6,13,0.2,0,0.0,1,0.3,0,0.0,0,0.0,5,1.4
Board decision,628,1.7,479,1.8,134,1.8,5,0.3,1,0.3,2,2.8,2,4.3,9,2.4
