row_label,Object class,Amount (dollars)
Personnel compensation,Personnel compensation,32968199
Personnel benefits,Personnel benefits,2798777
Travel and transportation of persons,Travel and transportation of persons,1797648
Transportation of things,Transportation of things,70606
"Rent, communications, and utilities","Rent, communications, and utilities",1359916
Printing and reproduction,Printing and reproduction,499924
Other services,Other services,1528890
Supplies and materials,Supplies and materials,335183
Equipment,Equipment,133272
Insurance claims and indemnities,Insurance claims and indemnities,26792
"Subtotal, obligations and expenditures","Subtotal, obligations and expenditures",41519207
Transferred to other accounts (GSA),Transferred to other accounts (GSA),21728
Total Agency,Total Agency,41540935
Reimbursable: Personnel compensation,Personnel compensation (reimbursable),22588
Reimbursable: Personnel benefits,Personnel benefits (reimbursable),1791
Reimbursable: Travel and transportation of persons,Travel and transportation of persons (reimbursable),601
Total reimbursable obligations and expenditures,Total reimbursable obligations and expenditures,24980
