row_label,Industrial group,All cases,Unfair labor practice cases / All C,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
"Finance, insurance, and real estate / U.S. Postal Service / Local and suburban transit and interurban highway passenger transportation / Motor freight transportation and warehousing / Water transportation / Air transportation / Pipelines (except natural gas) / Communication / Electric, gas, and sanitary services / Transportation, communication, and other services / Hotels, rooming houses, camps, and other lodging places / Personal services / Business services / Auto repair, services, and garages / Miscellaneous repair services / Motion pictures / Amusement and recreation services (except motion pictures) / Health services / Educational services / Membership organizations / Engineering, accounting, research, management, and related services / Miscellaneous services / Legal services / Social services / Services / Public administration",,,,,,,,,,,,,,,,,
"Total, all industrial groups",40861,,,,,,,,,,,,,,,,
