row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
Nevada (RD),7,0,0,0,0,0,7,,,,,,,,465,0,
Mountain — Division subtotal (RD continuation),54,12,8,3,0,1,42,2021,1759,587,431,132,5,19,1172,333,
California (RD),137,34,23,9,0,2,103,4420,3708,1548,1112,328,29,79,2160,1892,
Pacific — Division subtotal (RD),254,51,37,10,1,4,203,8746,7485,3055,2304,458,136,167,4420,2900,
Puerto Rico (RD),4,0,0,0,0,0,4,3,94,91,24,14,0,0,0,0,
Outlying Areas — subtotal (RD),4,0,0,0,0,0,4,3,94,91,24,14,0,0,0,0,
"Total, all States and areas (RD GRAND TOTAL)",875,206,137,42,5,22,669,37816,33354,14670,10985,2276,209,298,1111,18684,13688
