row_label,col_1,col_2,col_3,col_4
Mi t-.7c.i.-i,i Lf,'''''''Q2QQr,' Cl,72 e! Li-
". ' ,:- .",O !:- ..,NO c egO,A,8
,,2,2,
ii,,0 00,,"...,"
Vi,C•2-,"E,,.9.0n",4,E Vi
ERIE c•i.-.',i 4,4 °°°° 4 °,2,E ui
Egp m•,4,°A2P4°°-,2 m,A N .6
F.1 .,li,IA 283,§,€1
§,ig,G> A,A,H
,& ...-,F,"g u,",' 8 a
"u-, CD '... L 0 -",6 LS,"° 9? 1=4"". ' . O • C.1","R C,1",c4
ME,& cc■,o pm l lu% vr,g ui,R c.i'
"iHR ,.. , f ,SVi",q g,qP18 4,"g ,c7",Q g
,,,,
,,,:,
. •,,. : : . . 9 .1 • • '2 • ',,
,,41 :,,
• :11•,,.1]1 El o: > :. P' '' • ],,
: : 2 211] NN 4.,,"°P122"" nniM",i,
22 -.4i.66,,g.'13,N,
