row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won / Total,Valid votes cast in elections won / Votes for unions / AFL-CIO unions,Valid votes cast in elections won / Votes for unions / Teamsters,Valid votes cast in elections won / Votes for unions / Other national unions,Valid votes cast in elections won / Votes for unions / Other local unions,Valid votes cast in elections won / Total votes for no union,Valid votes on elections lost / Total,Valid votes on elections lost / Votes for unions / AFL-CIO unions,Valid votes on elections lost / Votes for unions / Teamsters,Valid votes on elections lost / Votes for unions / Other national unions,Valid votes on elections lost / Votes for unions / Other local unions,Valid votes on elections lost / Total votes for no union
A. ALL REPRESENTATION ELECTIONS — section header,,,,,,,,,,,,,,
In all representation elections,534454,297283,158422,29392,20258,19938,74339,83500,67527,11943,3485,545,148732,
1-union elections (subtotal),415598,229553,138422,18115,6463,2204,65854,77304,62464,11357,3151,532,139645,
1-union election affiliation,,,,,,,,,,,,,,
2-union elections (subtotal),110400,58747,47142,10219,8493,2204,8539,6158,4900,888,313,13,8514,
2-union affiliation-pair,,,,,,,,,,,,,,
3 (or more)-union elections (subtotal),8232,6641,4482,,302,1179,660,478,457,,21,0,573,
3+-union affiliation-triple,,,,,,,,,,,,,,
