Industrial group,Total,All C cases,CA cases,CB cases,CC cases,CD cases,CE cases,CP cases,All R cases,RC cases,RM cases,RD cases
Mining,533,300,207,51,34,1,0,7,232,204,19,9
Coal mining,222,152,96,38,23,0,0,4,70,62,5,0
Construction,3346,2407,662,678,636,294,7,130,736,660,73,3
Wholesale trade,2098,833,612,113,50,4,5,41,1265,1074,124,27
Retail trade,3632,1716,1229,193,102,11,1,175,1872,1575,153,144
"Finance, insurance, and real estate",288,129,94,19,8,2,0,6,159,154,4,1
"Transportation, communication, and other utilities",5350,2098,1353,553,112,34,4,32,1404,1243,95,56
"Motor freight, warehousing, and transportation services",2089,1282,894,298,65,11,3,21,796,700,54,32
Services,2288,1325,900,289,86,22,1,27,935,853,67,46
