row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Total RC and RMelections................,161711,2283,100.0,,1098,100.0,106,100.0,85,100.0,994,100.0
Under 10............................................................,3005,464,20.3,20.3,280,25.5,16,15.1,15,17.6,153,15.4
10 to 19..............................................................,6626,442,19.4,39.7,223,20.3,20,18.9,26,30.6,173,17.4
20 to 29..............................................................,7281,277,12.1,51.8,115,10.5,12,11.3,9,10.6,141,14.2
30 to 39..............................................................,6735,199,8.7,60.5,93,8.5,9,8.5,6,7.1,91,9.2
40 to 49..............................................................,5457,123,5.4,65.9,59,5.4,3,2.8,5,5.9,56,5.6
50 to 59..............................................................,6415,117,5.1,71.0,47,4.3,4,3.8,3,3.5,63,6.3
60 to 69..............................................................,6017,89,3.9,74.9,43,3.9,6,5.7,2,2.4,38,3.8
70 to 79..............................................................,5546,69,3.0,78.0,34,3.1,4,3.8,2,2.4,29,2.9
80 to 89..............................................................,4533,55,2.4,80.4,24,2.2,10,9.4,4,4.7,17,1.7
90 to 99..............................................................,4879,51,2.2,82.6,25,2.3,2,1.9,1,1.2,23,2.3
100 to 109..........................................................,4641,44,1.9,84.5,19,1.7,2,1.9,2,2.4,21,2.1
110 to 119..........................................................,3645,34,1.5,86.0,17,1.5,4,3.8,1,1.2,12,1.2
120 to 129..........................................................,4065,31,1.4,87.4,14,1.3,2,1.9,0,0.0,15,1.5
130 to 139..........................................................,2891,21,0.9,88.3,8,0.7,1,0.9,1,1.2,11,1.1
140 to 149..........................................................,3213,21,0.9,89.2,8,0.7,1,0.9,0,0.0,12,1.2
150 to 159..........................................................,3213,20,0.9,90.1,4,0.4,1,0.9,1,1.2,14,1.4
160 to 169..........................................................,2509,17,0.7,90.8,5,0.5,2,1.9,1,1.2,9,0.9
170 to 179..........................................................,1253,7,0.3,91.2,0,0.0,0,0.0,1,1.2,6,0.6
180 to 189..........................................................,1901,10,0.4,91.6,4,0.4,1,0.9,0,0.0,5,0.5
190 to 199..........................................................,1510,8,0.4,91.9,2,0.2,0,0.0,0,0.0,6,0.6
200 to 299..........................................................,17241,75,3.3,95.2,29,2.6,2,1.9,2,2.4,42,4.2
300 to 399..........................................................,14148,43,1.9,97.1,18,1.6,1,0.9,2,2.4,22,2.2
400 to 499..........................................................,7892,19,0.8,97.9,9,0.8,0,0.0,0,0.0,10,1.0
500 to 599..........................................................,7205,13,0.6,98.5,5,0.5,2,1.9,1,1.2,5,0.5
600 to 799..........................................................,8125,13,0.6,99.1,4,0.4,0,0.0,0,0.0,9,0.9
800 to 999..........................................................,7001,9,0.4,99.5 99.8,2,0.2,0,0.0,0,0.0,7,0.7
,6327,8,0.4,,,0.5,1,,0,,2,
"1,000 to 1,999....................................................",,,,,5,,,0.9,,0.0,,0.2
