Division and State,Total elections,Number of elections in which representation rights were won by — AFL-CIO affiliates,Number of elections in which representation rights were won by — Unaffiliated unions,In which no representative was chosen,Employees eligible to vote,Total valid votes cast,Valid votes cast for — AFL-CIO affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union,Employees in units choosing representation
South Atlantic,551,271,44,236,52155,46677,21901,2549,22227,22909
Delaware,15,11,1,3,1193,1005,632,27,346,988
Florida,131,95,43,67,9202,8304,4539,1381,3181,6117
East South Central,243,94,19,130,22773,20012,9257,808,10007,9232
West South Central,304,187,60,167,30255,26753,12879,3669,10205,17170
Texas,217,103,59,57,17876,15313,7816,3202,5272,10738
Mountain,194,100,21,73,8940,8187,3370,1145,3669,4373
Pacific,450,209,64,177,30624,27367,12843,3756,10768,17297
California,353,152,54,147,26073,23803,10355,3509,9778,14417
Outlying areas,66,37,15,14,4299,3657,2064,733,860,3615
Puerto Rico,16,16,5,9,3460,2946,1776,618,552,3058
