Size of unit (number of employees),Number eligible to vote,Total elections,Percent of total,Elections in which representation rights was won by — AFL-CIO unions — Number,AFL-CIO unions — Percent of size class,Teamsters — Number,Teamsters — Percent of size class,Other national unions — Number,Other national unions — Percent of size class,Other local unions — Number,Other local unions — Percent of size class,Elections in which representation was chosen — Number,Elections in which representation was chosen — Percent of size class
Total RD elections,34174,606,100.0,177,100.0,45,100.0,8,100.0,,,425,100.0
Under 10,1393,150,24.8,24,13.6,6,13.3,,,,,120,28.2
10 to 19,1376,95,15.7,19,10.7,,,,,,,76,17.8
Under-20 (Under 10 + 10-19) — combined,2769,245,40.4,,,,,,,,,,
