Expenditure category,Amount
Salaries,3144329
Travel,357238
Transportation of things,13022
Communications,98239
Rents and utility services,152321
Other contractual services,89267
Supplies and materials,53573
Furniture and equipment,99477
Total salaries and expenses,4007466
Printing and binding,232615
Penalty mail costs,10870
Grand total expenditures and obligations,4250951
