Size of establishment (number of employees),Total — Number of situations,Total — Percent of all situations,Total — Cumulative percent of all situations,CA — Number of situations,CA — Percent by size class,CB — Number of situations,CB — Percent by size class,CC — Number of situations,CC — Percent by size class,CD — Number of situations,CD — Percent by size class,CE — Number of situations,CE — Percent by size class,CG — Number of situations,CG — Percent by size class,CP — Number of situations,CP — Percent by size class,CA-CB combinations — Number of situations,CA-CB combinations — Percent by size class,Other C combinations — Number of situations,Other C combinations — Percent by size class
"4,000-4,999",160,0.6,97.7,78,0.4,68,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,1.3,0,0.0
"5,000-9,999",373,1.3,99.0,215,1.1,115,1.9,2,0.3,0,0.0,0,0.0,0,0.0,1,3.0,38,3.6,1,1.1
"Over 9,999",257,0.9,99.9,141,0.7,86,1.4,4,0.6,1,0.6,0,0.0,0,0.0,2,1.0,22,2.1,0,0.0
