Remedy / outcome,Total,Identification of complainant / A. F. of L. affiliates,Identification of complainant / C. I. O. affiliates,Identification of complainant / Unaffiliated unions,Identification of complainant / Individuals
Cases — Notice posted,576,242,234,84,16
Cases — Company union disestablished,54,21,27,5,1
Cases — Workers placed on preferential hiring list,39,15,15,8,1
Cases — Collective bargaining begun,116,45,40,29,2
Workers — Workers reinstated to remedy discriminatory discharge,1919,545,824,516,34
Workers — Workers receiving back pay,1973,583,966,375,49
Workers — Back-pay awards,997270,315030,581510,90510,10220
Workers — Strikers reinstated,125,0,0,125,0
