Subsection,Number of cases showing specific allegations,Percent of total cases
A. Charges filed against employers under sec. 8(a) — Total cases,17978,100.0
8(a)(1),2131,11.9
8(a)(2),397,2.2
8(a)(3),9293,51.7
8(a)(4),53,0.3
8(a)(5),3614,20.1
A. - 8(a)(1)2,17978,100.0
A. - 8(a)(2),984,5.7
A. - 8(a)(3),11620,64.6
A. - 8(a)(4),514,2.9
A. - 8(a)(5),5492,30.5
B. Charges filed against unions under sec. 8(b) — Total cases,9654,100.0
8(b)(1),4239,43.9
8(b)(2),199,2.1
8(b)(3),443,4.6
8(b)(4),2630,27.2
8(b)(5),20,0.2
8(b)(6),12,0.1
8(b)(7),553,5.7
8(b)(1),5759,59.7
8(b)(2),1542,16.0
8(b)(3),728,7.6
8(b)(4),2630,27.2
8(b)(5),19,0.2
8(b)(6),25,0.3
8(b)(7),553,5.7
B1. Analysis of 8(b)(4) — Total cases,2630,100.0
B2. Analysis of 8(b)(7) — Total cases,553,100.0
C. Charges filed under sec. 8(e) — Total cases,94,100.0
C. Against unions alone,80,85.1
C. Against employers alone,0,0
