row_label,Number of proceedings / Total—all courts / Number decided,Number of proceedings / Total—all courts / Court determination Upholding Board position,Number of proceedings / Total—all courts / Court determination Contrary to Board position,Number of proceedings / In courts of appeals / Number decided,Number of proceedings / In courts of appeals / Court determination Upholding Board position,Number of proceedings / In courts of appeals / Court determination Contrary to Board position,Number of proceedings / In district courts / Number decided,Number of proceedings / In district courts / Court determination Upholding Board position,Number of proceedings / In district courts / Court determination Contrary to Board position,Number of proceedings / In bankruptcy courts / Number decided,Number of proceedings / In bankruptcy courts / Court determination Upholding Board position,Number of proceedings / In bankruptcy courts / Court determination Contrary to Board position
Totals—all types,52,45,7,25,21,4,16,15,1,11,9,2
NLRB-initiated actions or interventions,1,1,0,1,1,0,0,0,0,0,0,0
To enforce subpoena,0,0,0,0,0,0,0,0,0,0,0,0
To defend Board's jurisdiction,0,0,0,0,0,0,0,0,0,0,0,0
To prevent conflict between NLRA and another statute,1,1,0,1,1,0,0,0,0,0,0,0
Actions by other parties,51,44,7,24,20,4,16,15,1,11,9,2
To review non-final orders,3,3,0,3,3,0,0,0,0,0,0,0
To restrain NLRB Board,18,15,3,2,2,0,6,5,1,10,8,2
Filing proof of claim in bankruptcy,1,1,0,0,0,0,0,0,0,1,1,0
Proceeding in R case,8,7,1,1,1,0,5,4,1,2,2,0
Proceeding in unfair labor practice case,3,3,0,0,0,0,0,0,0,3,3,0
Enforcing subpoena,0,0,0,0,0,0,0,0,0,0,0,0
Acting in Equal Access to Justice Act Case,6,4,2,1,1,0,1,1,0,4,2,2
To compel NLRB action,28,25,3,19,16,3,9,9,0,0,0,0
Quash a subpoena,3,3,0,0,0,0,3,3,0,0,0,0
Issue contempt,8,8,0,4,4,0,4,4,0,0,0,0
Take action in R case,1,1,0,0,0,0,1,1,0,0,0,0
Comply with Freedom of Information Act,5,3,2,4,3,2,1,1,0,0,0,0
Pay fees under Equal Access to Justice Act,11,10,1,11,10,0,0,0,0,0,0,0
Other,2,1,1,0,0,0,1,1,0,1,0,1
To reopen bankruptcy to consider Board's claim,1,1,0,0,0,0,0,0,0,1,0,1
To remove Board proceeding to bankruptcy court,1,0,1,0,0,0,1,1,0,0,0,0
