row_label,col_1,col_2
17,"Size of Units in Representation Election Cases Closed, Fiscal Year 1966",218
18.,"Distribution of Unfair Labor Practice Situations Received, by Num- ber of Employees in Establishment, Fiscal Year 1966",220
19.,"Litigation for Enforcement and/or Review of Board Orders, Fiscal Year 1966, and Cumulative Totals, Fiscal Years 1936-66",222
19A.,"Proceedings Decided by Circuit Courts of Appeals on Petitions for Enforcement and/or Review of Board Orders, Fiscal Year 1966 Compared With 5-Year Cumulative Totals, Fiscal Years 1961 Through 1965",223
20.,"Injunction Litigation Under Section 10(e), 10(j), and 10(1), Fiscal Year 1966",224
21.,Miscellaneous Litigation Involving NLRB; Outcome of Proceedings in Which Court Decisions Issued in Fiscal Year 1966,225
22.,"Advisory Opinion Cases Received, Closed, and Pending, Fiscal Year 1966",226
22A.,"Disposition of Advisory Opinion Cases, Fiscal Year 1966",226
CHARTS IN CHAPTER I,CHARTS IN CHAPTER I,CHARTS IN CHAPTER I
CHART,CHART,CHART
1.,Case Intake by Unfair Labor Practice Situations and Representation Petitions,5
lA,ULP Case Intake,6
2.,Disposition Pattern for Unfair Labor Practice Cases,7
3.,"Number and Age of Unfair Labor Practice Cases Pending Under Preliminary Investigation, Month to Month",10
4.,Unfair Labor Practice Merit Factor,11
5.,Complaints Issued in Unfair Labor Practice Proceedings,12
6.,Median Days From Filing of Charge to Issuance of Complaint,12
7.,Unfair Labor Practice Cases Settled,14
8.,Trial Examiner Hearings and Decisions,15
9.,Amount of Backpay Received by Discrimmatees,16
10.,Time Required To Process Representation Cases From Filing of Petition to Issuance of Decision,17
11.,Board Case Backlog,18
12.,Collective-Bargaining Elections Closed /,19
13.,Decisions Issued,22
14.,Cases Closed,24
15.,Comparison or Filings of Unfair Labor Practice Cases and Repre- sentation Cases,26
