row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,8249,720,8 5,198,1 8,107,1 3,827,9 8,255,3 0
By type of case,,,,,,,,,,,
In RC cases,7214,651,9 0,138,1 9,95,1 3,796,10 3,233,3 2
In RM cases,247,21,85,2,08,2,08,23,93,4,1 7
In RD cases,788,48,6 1,8,1 0,10,1 3,58,7 4,18,2 3
By type of election,,,,,,,,,,,
Consent elections,490,22,4 5,7,1 4,1,0 2,23,4 7,8,1 6
Stipulated elections,6236,499,8 0,137,2 2,85,1 4,584,9 4,222,3 6
Expedited elections,27,3,111,0,,0,,3,111,0,
Regional director-directed elections,1449,191,13 2,0,,20,1 4,211,14 6,20,1 4
Board-directed elections,47,5,10 6,4,8 5,1,2 1,6,12 8,5,10 6
