Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
17-CC-88-90,"Painters, Dist. Council No. 3, et al. (Northtown Glass Co. Inc.)","May 29, 1959",10 (l),,,,,,
14-CD-68,"Plumbers, Local 392 (General Refrigeration Service Co.)","June 1, 1959",10 (l),,,,,,Settled
13-CD-64,"Electrical Workers, Local 9, et al. (G. & W. Rabel & Co., Inc.)","June 3, 1959",10 (l),,,,,,
Additional case rows present,,,,,,,,,
