Method and stage of disposition,All R cases — Number,All R cases — Percent,RC cases — Number,RC cases — Percent,RM cases — Number,RM cases — Percent,RD cases — Number,RD cases — Percent,UD cases — Number,UD cases — Percent
Total cases closed,7110,100.0,5451,100.0,395,100.0,1264,100.0,156,100.0
"Certification issued, total",4251,61.2,3495,64.1,160,40.5,596,47.1,84,53.8
Certification issued — Consent election,75,1.1,33,0.6,21,5.3,21,1.7,0,0.0
Certification issued — Stipulated election,3571,50.2,2973,54.5,127,32.2,476,37.7,,
Certification issued — Regional Director-directed election,688,9.7,,,,,98,7.8,,
Certification issued — Board-directed election,,,,,,,,,,
"By withdrawal, total",2276,32.0,1716,31.5,227,57.5,266,21.0,67,42.9
"By dismissal, total",483,6.8,238,4.4,8,2.0,225,17.8,5,3.2
