row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total",3042,2759,2508,108,145,12
Initial hearings Hearings on objections and/or challenges,2733,2459,2502,98,129,12
,309,300,276,8,16,0
"Decisions issued, total",2597,2428,2218,96,114,7
By regional directors,2390,2243,2047,82,114,7
Elections directed Dismissals on record,"2,016 374","1,894 349","1,734 313",66 16,94 20,8 1
By Board,207,185,171,14,0,0
Transferred by regional directors for initial decision,117,101,90,11,0,0
Elections directed Disni l egvh on record,86 31,76 25,68 22,8 3,0 0,0 0
Review of regional directors' decisions:,602,550,519,,,
Requests for review received,,,,12,16,3
Withdrawn before request ruled upon,24,M,23 465,0,0,0 2
"Board action on requests ruled upon, total_",536,491 112,109,12 2,14 1,1
Granted Denied,124 392,369,347,9,13,1
Remanded,20,10,9,1,o,0
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",90,84,81,3,0,
Regional directors' decision: Affirmed,47,44,41,3,0,0
Modified Reversed,18,16,16,0,0,0
Outcome: Election directed,25,24,24,0,c,0
Dismissals on record,38,31,30,1,0,o
,24,19,19,0,o,0
