Method and stage of disposition,All R cases / Number,All R cases / Percent,RC cases / Number,RC cases / Percent,RM cases / Number,RM cases / Percent,RD cases / Number,RD cases / Percent,UD cases / Number,UD cases / Percent
"Total, all",3466,100.0,2886,100.0,219,100.0,361,100.0,61,100.0
"Certification issued, total",2312,66.7,2033,70.4,100,47.0,178,48.8,34,55.8
After: Consent election,240,6.9,206,7.1,10,4.6,24,6.6,4,6.6
"After notice of hearing, before hearing closed",120,3.5,105,3.6,9,4.1,4,1.1,2,3.3
"After hearing closed, before decision",2,0.1,2,0.1,0,,0,,0,
Stipulated election,1509,45.2,1412,48.9,66,30.1,121,33.5,7,11.5
Before notice of hearing,558,16.1,479,16.4,35,16.0,51,14.1,4,6.6
After notice of hearing,1032,29.8,931,32.2,31,14.1,70,19.4,0,
Expedited election,12,0.3,3,0.1,0,,0,,0,
Regional director directed election,537,15.5,412,14.3,10,2.3,33,9.1,23,37.7
Board directed election,14,0.4,14,0.5,0,,0,,0,
"By withdrawal, total",917,26.5,712,24.7,81,37.0,124,34.3,21,34.4
"Before notice of hearing, before hearing closed",423,12.2,283,9.8,57,26.0,83,22.9,20,32.8
After notice of hearing,441,12.7,383,13.3,21,9.6,36,10.0,1,1.6
"After hearing closed, before decision",11,0.3,8,0.3,0,,3,0.8,0,
After issuance of decision and direction of election,42,1.2,38,1.3,3,1.4,1,0.3,0,
After Board decision and direction of election,0,0.1,0,,0,,1,0.3,0,
"By dismissal, total",237,6.8,141,4.9,38,16.0,59,16.3,6,9.8
Before notice of hearing,131,3.7,100,2.1,25,11.5,4,1.1,2,3.3
"After notice of hearing, before hearing closed",37,1.1,23,0.8,5,2.3,8,2.2,1,1.6
"After hearing closed, before decision",5,0.2,2,0.1,0,,3,0.8,0,
By regional director's decision,52,1.5,16,0.6,8,3.7,27,7.5,1,1.6
By Board decision,12,0.3,0,,0,,7,1.9,2,3.3
