row_label,Stage of disposition,All C cases Number,All C cases Percent,CA cases Number,CA cases Percent,CB cases Number,CB cases Percent,CC cases Number,CC cases Percent,CD cases Number,CD cases Percent,CE cases Number,CE cases Percent,CP cases Number,CP cases Percent
Total number of cases closed,Total number of cases closed,27016,100.0,17397,100.0,6653,100.0,1994,100.0,622,100.0,90,100.0,520,100.0
Before issuance of complaint,Before issuance of complaint,23150,85.8,14626,84.5,5733,88.5,1676,84.1,605,97.3,67,74.5,452,86.9
"After issuance of complaint, before opening of hearing","After issuance of complaint, before opening of hearing",2140,7.9,1389,8.0,456,7.0,229,11.5,1,0,7,7.8,34,6.5
"After hearing opened, before issuance of administrative law judge's decision","After hearing opened, before issuance of administrative law judge's decision",268,1.0,154,0.9,77,1.2,30,1.5,0,0,3,3.3,6,1.2
"After administrative law judge's decision, before issuance of Board decision","After administrative law judge's decision, before issuance of Board decision",188,0.6,146,1.0,11,0.2,26,1.3,0,0,0,0,0,0
After Board order adopting administrative law judge's decision in absence of exceptions,After Board order adopting administrative law judge's decision in absence of exceptions,227,0.8,189,1.1,26,0.4,9,0.4,0,0,1,1.1,2,0.4
"After Board decision, before circuit court decree","After Board decision, before circuit court decree",734,2.7,602,3.5,70,1.1,37,1.8,1,0,13,14.4,11,2.1
"After circuit court decree, before Supreme Court action","After circuit court decree, before Supreme Court action",367,1.4,303,1.7,47,0.7,16,0.8,0,0,1,1.1,0,0
After Supreme Court action,After Supreme Court action,38,0.1,8,0.1,29,0.4,0,0,0,0,0,0,0,0
