Stage / Case type,Number of cases — Total,Number of cases — A.F. of L. affiliates,Number of cases — C.I.O. affiliates,Number of cases — Unaffiliated unions,Number of cases — Individuals,Number of cases — Employers
"NLRA—C cases — Cases pending July 1, 1950",231,56,93,70,12,
"NLRA—C cases — Cases received July 1, 1950–June 30, 1951",0,,,,,
"NLRA—C cases — Cases on docket July 1, 1950–June 30, 1951",231,56,93,70,12,
"NLRA—C cases — Cases closed July 1, 1950–June 30, 1951",137,23,49,63,2,
"NLRA—C cases — Cases pending June 30, 1951",94,33,44,7,10,
"CA cases — Cases pending July 1, 1950",2374,872,540,184,778,
"CA cases — Cases received July 1, 1950–June 30, 1951",4164,1592,1005,471,1096,
"CA cases — Cases on docket July 1, 1950–June 30, 1951",6538,2464,1545,655,1874,
"CA cases — Cases closed July 1, 1950–June 30, 1951",4168,1639,915,464,1150,
"CA cases — Cases pending June 30, 1951",2370,825,630,191,724,
"CB cases — Cases pending July 1, 1950",535,25,11,16,319,164
"CB cases — Cases received July 1, 1950–June 30, 1951",858,42,30,25,566,195
"CB cases — Cases on docket July 1, 1950–June 30, 1951",1393,67,41,41,885,359
"CB cases — Cases closed July 1, 1950–June 30, 1951",926,45,28,28,575,250
"CB cases — Cases pending June 30, 1951",467,22,13,13,310,109
"CC cases — Cases pending July 1, 1950",83,2,1,1,4,75
"CC cases — Cases received July 1, 1950–June 30, 1951",167,2,4,0,10,153
"CC cases — Cases on docket July 1, 1950–June 30, 1951",250,6,1,1,14,228
"CC cases — Cases closed July 1, 1950–June 30, 1951",195,5,1,1,13,175
"CC cases — Cases pending June 30, 1951",55,1,0,0,1,53
"CD cases — Cases pending July 1, 1950",20,1,1,0,0,18
"CD cases — Cases received July 1, 1950–June 30, 1951",72,2,0,1,9,60
"CD cases — Cases on docket July 1, 1950–June 30, 1951",92,3,0,1,9,78
"CD cases — Cases closed July 1, 1950–June 30, 1951",77,1,0,2,8,66
"CD cases — Cases pending June 30, 1951",15,2,0,0,1,12
