row_label,col_1
1-R-3302,Ekco Products Co. (Sta-Brite Division).
16-R-2127 14-R-1581,El Campo Rice Milling Co.
8-R-2354,Elder Mfg. Co.
9-R-2685,Electric Auto-Lite Co. (Spark Plug Division). Electric Auto-Lite Co.
21-R-3762,Electric Household Utilities Corp.
8-R-2433,Electro-Metallurgical Co.
17-R-1582,Elgin National Watch Co.
11-R-1229,"Ellis, James C. (Oil Production) James C. Ellis, d/b/a."
18-R-1756,Ely-Walker Dry Goods Co.
14-R-1497,Embassy Mfg. Co.
,Emerson Phonograph & Radio Corp.
2-R-6929,Emperor Coal Co.
9-R-2590,Bunco Derrick & Equipment Co.
16-R-2194 21-R-3494,Emsco Derrick & Equipment Co.
4-R-2259,Energetic Worsted Corp.
5-R-2481,Engineering & Research Corp.
4-R-2553,"Englishtown Cutlery, Ltd."
10-RE-22,Esdorn Lumber Corp.
13-R-3952,Estee Bedding Co.
,"Evans, J. W. & Son."
2-R-6848 4-R-2579,"Evans, S. W. & Son."
2-R-6818,Ever-Ready Label Corp.
13-R-4033,"Eversharp, Inc. Ex-cell Coal Co., John G., Sr., & John G., Jr., Hoffstot d/b/a."
6-R-1604,
4-R-2623,Fab-Weld Corp.
10-R-2410 1-R-3341,"Fagen, A. A. Fairchild Advertising, Inc."
2-R-6697,Fairchild Engine & Airplane Corp.
2-R-7337,Fairchild Engine & Airplane Corp. (Pilotless Plane Division).
3-R-1430,Fairchild Engine & Airplane Corp. (Duramold Division of).
5-R-2393,Fairchild Engine & Airplane Corp.
13-R-3818,Fairmont Creamery Co.
17-R-1707,Fairmont Creamery Co.
18-R-1706,Fairmont Creamery Co.
10-R-2634,"Fairmont Mills, Inc."
7-R-2513,Falcon Mfg. Co.
19-R-2023,"Farmers Cooperative Union, Inc."
2-R-7743,"Farmers Feed Co. Farmers Produce Co., Goldberg, E. M., d/b/a."
15-R-1887 13-R-4130,Farnsworth Television & Radio Corp.
,Fayette Hardwood Co.
15-R-2137,Federal-Mogul Corp.
7-R-2311,"Federated Publications, Inc."
7-R-2593 13-R-3918,"Field Enterprises, Inc."
,Corp.
15-11-1730,Filtrol Patrol Corp.
21-R-3961,Tire & Rubber Co.
4-R-2414 8-11-2447,Firestone Firestone Tire & Rubber Co.
10-R-2442,Firestone Tire & Rubber Co.
15-R-1911,Firestone Tire & Rubber Co.
,Firestone Tire & Rubber Co.
18-11-1754 21-R-3614,Tire & Rubber Co. of California.
,"Firestone Chair Co., The."
11-R-1065 15-11-2085,Fischer Flintkote Co.
10-11-2628,Florida All-Bound Box Co.
,Machinery Corp.
10-R-1716 6-R-1213,Food Ford Collieries Co.
,& Clark. Payne Hosiery
20-R-1940 10-R-2512,"Foreman Fort Mills,"
5-11-2920,"Inc. Foster Bros., & Co. Franklin, A. W., Mfg. Corp.,"
2-11-6724,Airloop Corp. Fraser Furnace Co.
,Franklin
20-R-1732 5-RE-28,Broad Electric Membership Corp.
1-R-3416,French French Mfg. Co.
,Co.
13-11-3762,
,Fresh'nd-Aire
