row_label,col_1,col_2,col_3,col_4
,2 02 t. op,"4t'› 1 ] 4V,-°o","8 v,",".,.......,....,.m. .. M- . .0mou .....,0.0 ...,.. -- . .1. - .. - - ..."
,61 8 z,"i,-...2 .2052",R,"g4v.. ,,,.......,2......,....2m...,....0t-t-...."
,"2 0'4 <.,§ UE","1 c.,",. 8 .-.,".7,-■,,-,r,,c1.MmLOMMNC-NomNWOMOM00000,m A.,,..... , - 04 MMNMN ,-. MMN.N,-."
,8,'2,". . ,-",":5-igg'g;112g:;g""g"", ,- =m,....."
,04 0,,8,"..,...m. . ,. . ... NNNN N 4.4m0.... - - N ."
,,"b,A2 V'rifl",R,"Rg4;9c4o>,00lm0r,0mo,.om0ommoo0,.■0,.c-.,o0,-,"
,0 0,4.4TV,0,"MM MMMMM M M ,000 MM,MM t-"
,0 0,"i'^..g 20,0 Z -.",N .0,"L4.000000.010NN000.0.1.000.1.00000,"
,W 0,"2 /3 gW0 tgE§A .,,",0 8 -.,",M0MM, ODM , ,ONON M M ,NNN . .-1 ... N V . 0 •-■ ID."
,W 0,".g 0 it..40 ,-,",8 -,"VMMM-.0100-.0-.0000N0000010,..00,000,001 00.+ t.."
,Q 0,P,0 8,".mt,...0m0mm.mm .- 0 -0.m... MOOMMWM g,4i00.,--- . . .. - N. -"
,Q 0,g i-tA g z,M A,"4m1,A,...,mmo-.....-....-....""-,_. -"
,0 0,4.8.'01,,",.........,--,.,......,,....00.,..,,- ,7.,........ . . 01,-... . M"
,0 0,.-... 2 -g'02,g,"ia28N3AV4""43'.7.'W''42n2Vin.F.F.g.V2Mt-"
,XI U,"0›,k1 a.t-Qou",8 0,".400O0000M0M4100Mer0m,I00,..0500M, wom,cumweq., ,I.-. oi Lo,o3N-1 .o.3-.4.-."
,XI U,"i...0 20,o Z",Z m M',"giiipplAqAtztvDRI'VARViA4RR',11,3S2"
,.4 0,.L.§.1,8,",0001,0,01,Mmpt-0000,v01r.C.W.001,0,,04.. E.00.,..'41 . - N LOGINN,-* DN.,. ...,"
,.4 0,gltli z,"... .-1 ,-. A","SRStgUgR,TIS2SAF,M7,85gg§ER3V4rni vri6a1.116,+t-ZvcvoSol,p64,-.3.-.N.. N.....4t.i.c,lm ,la----;-- -;"
g,". a-: 4 '0, 30 oEVatvg",". a-: 4 '0, 30 oEVatvg",". a-: 4 '0, 30 oEVatvg",",010101,000..W.00,0,N01,0,00.0000',.0000000 £144.742A8,-,5AAAARAggPPPgAIREZARTIAR8 -"
g,"4tlig 4ttr.f. ,","4tlig 4ttr.f. ,",8 0 -,",000.1.00.000,0,00.00.1-.LOWNN.0000-.M..0,,,, n000.00101. M .-+ N LOMCIN... .r.....4 I..."
'2i..0 E.c,'2i..0 E.c,"al 4,",g 0,"CHERMInigAHEEPMEiNENinEEi -6-0f.. ,.; .-."
,"IVO-a 00. .rzE .2',","IVO-a 00. .rzE .2',",g,"0: . • . . . • . .. . . • .. MEE; tc....m...g 8.T.AAWMPARRSSRRF El-flc,,, T42211M*Agiii4iiNiiii egAgM"
