row_label,Disposition,Count
Granted,Granted,97
Denied,Denied,14
Withdrawn,Withdrawn,30
Dismissed,Dismissed,22
Settled or placed on courts' inactive docket,Settled or placed on courts' inactive docket,72
Awaiting action at end of fiscal 1970,Awaiting action at end of fiscal 1970,17
