Division and State,Total number of polls,Polls authorized — A.F. of L. affiliates,Polls authorized — C.I.O. affiliates,Polls authorized — Unaffiliated unions,Polls authorized — No union,Employees eligible to vote,Total valid votes cast,Valid votes cast for union-shop — A.F. of L. affiliates,C.I.O. affiliates,Unaffiliated unions,Valid votes cast against union-shop,Employees in units authorizing union shop
West Virginia,32,24,28,0,0,23239,19396,600,17413,0,1323,23259
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0
East South Central,117,76,28,7,6,32422,27277,3622,19118,1283,3248,32361
Kentucky,58,44,12,7,0,8763,7402,2520,3166,330,856,
Tennessee,30,17,11,0,2,21220,18572,1500,9800,70,2118,22131
Alabama,24,12,11,0,4,1088,750,560,2090,0,429,3477
West South Central,103,71,17,7,6,6331,5308,2380,1705,692,531,3915
Mountain,201,146,30,16,9,33100,27825,4805,12325,6835,3800,28042
Pacific,948,609,154,145,40,112429,92915,48679,27706,5586,10952,103802
Washington,138,88,26,12,9,26447,20516,13558,4830,186,1642,23000
Oregon,113,78,21,7,8,10549,8066,6121,881,359,1656,8569
California,697,455,99,118,27,81431,66700,31261,25243,5572,7075,76233
Outlying areas,52,17,8,25,2,6675,3704,1283,917,2193,962,5668
Outlying — Puerto Rico,47,13,8,25,0,6500,3400,,,,,
